"event_date_UTC","network_code","park_code","site_name","station_code","SET_direction","pin_position","SET_offset_mm","pin_length_mm","pin_height_mm","set_type"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-2","C",8,393,762,251,"shallow"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-2","C",5,393,762,246,"shallow"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-2","C",8,393,762,252,"shallow"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-4","C",5,393,762,235,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-4","C",8,393,762,235,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-2","A",5,393,762,244,"shallow"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-1","D",8,393,762,203,"deep"
2016-12-13,"NCBN","ASIS","Marsh 11","M11-4","A",8,393,762,215,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-2","B",5,393,762,240,"shallow"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-2","B",8,393,762,252,"shallow"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-2","C",5,393,762,247,"shallow"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-2","C",8,393,762,248,"shallow"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-2","B",8,393,762,245,"shallow"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-4","C",5,393,762,235,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-4","C",8,393,762,227,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-4","B",8,393,762,239,"deep"
2016-12-13,"NCBN","ASIS","Marsh 11","M11-4","A",5,393,762,218,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-2","D",5,393,762,257,"shallow"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-2","D",8,393,762,239,"shallow"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-2","D",8,393,762,232,"shallow"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-2","D",5,393,762,254,"shallow"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-2","A",8,393,762,252,"shallow"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-2","A",8,393,762,244,"shallow"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-1","D",5,393,762,204,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-1","C",5,393,762,197,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-1","C",8,393,762,190,"deep"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-4","A",5,393,762,221,"deep"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-4","A",8,393,762,223,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-4","D",8,393,762,218,"deep"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-4","A",8,393,762,213,"deep"
2016-12-13,"NCBN","ASIS","Marsh 11","M11-2","D",8,393,762,251,"shallow"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-1","D",5,393,762,198,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-2","B",5,393,762,248,"shallow"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-2","B",8,393,762,245,"shallow"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-1","B",5,393,762,193,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-1","B",8,393,762,185,"deep"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-2","A",8,393,762,244,"shallow"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-4","A",5,393,762,218,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-4","A",8,393,762,232,"deep"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-4","B",5,393,762,233,"deep"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-4","B",8,393,762,229,"deep"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-4","D",5,393,762,218,"deep"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-4","D",8,393,762,220,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-4","D",5,393,762,218,"deep"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-4","A",5,393,762,213,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-2","D",8,393,762,250,"shallow"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-2","D",5,393,762,253,"shallow"
2015-12-01,"NCBN","ASIS","Marsh 11","M11-2","D",8,393,762,243,"shallow"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-4","B",5,393,762,236,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-4","B",8,393,762,239,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-1","A",5,393,762,201,"deep"
2014-12-01,"NCBN","ASIS","Marsh 11","M11-1","A",8,393,762,194,"deep"
2015-04-23,"NCBN","ASIS","Marsh 11","M11-4","C",5,393,762,214,"deep"
2016-03-30,"NCBN","ASIS","Marsh 11","M11-2","B",3,393,762,252,"shallow"
