"","network_code","network_name","park_code","park_name","site_name","station_code","station_name","event_date_UTC","reader_name","marker_horizon_name","core_measurement_number","core_measurement_depth_mm","core_type","core_condition","core_event_notes","core_notes","established_date","retired_date","validation_status","validation_date","validation_name","dpl"
"28","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-2","M11-2",2015-12-01,"Lynch, James - NCBN","A",3,28,"Plug","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"29","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-1","M11-1",2016-03-30,"Lynch, James - NCBN","A",1,23,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"30","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-1","M11-1",2016-03-30,"Lynch, James - NCBN","A",2,21,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"31","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-1","M11-1",2016-03-30,"Lynch, James - NCBN","A",3,26,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"32","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-1","M11-1",2016-03-30,"Lynch, James - NCBN","B",1,34,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"33","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-1","M11-1",2016-03-30,"Lynch, James - NCBN","B",2,37,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"34","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-1","M11-1",2016-03-30,"Lynch, James - NCBN","C",1,28,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"35","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-1","M11-1",2016-03-30,"Lynch, James - NCBN","C",2,27,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"36","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-1","M11-1",2016-03-30,"Lynch, James - NCBN","C",3,22,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
"37","NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-2","M11-2",2016-03-30,"Lynch, James - NCBN","B",1,35,"Unknown","Unknown",NA,NA,2009-06-22,NA,"ManuallyValidated",2023-02-02 12:00:00,"Skidds, Dennis","Accepted"
